WineName,Price,CountryState,Region,ProductType,VarietalType,Description
River Road Pinot Noir Stephanies Russian River Valley,$27.99,California,Sonoma County,Red Wine,Pinot Noir,Russian River Valley Sonoma CA- Handcrafted from a single vineyard by winemaker Joe Freeman this delicious Pinot features black cherry and raspberry cream aromas and flavors. Subtle oak overtones can be found on the silky elegant finish. Enjoy with salmon poultry beef or pork. (Elegant Cherry Raspberry Cocoa  Medium-bodied )
Bend Cabernet Sauvignon,$7.99,California,,Red Wine,Cabernet Sauvignon,California- Rich blackberry and black cherry flavors lead to a soft smooth finish. From the makers of Iter this beauty is a steal at this price. Its great with roasted dishes or just sharing with friends. (Fresh Black Cherry Blackberry  Medium-bodied )
Mascota Vineyards Gran Cabernet BB 2013,$44.99,Argentina,Mendoza,Red Wine,Cabernet Sauvignon,James Suckling-Mendoza Argentina - This is a muscular cabernet sauvignon with lots of fruit and richness. Full body chewy tannins yet always remains fresh and polished. Very structured and rich. A serious cabernet. (Elegant Black Currant Blackberry Violet  Full-bodied )
Almaden Merlot,$14.49,California,,Red Wine,Merlot,A soft and pleasant medium-bodied wine blackberry and raspberry aromas. ()
Beyond Ordinary Cabernet Blend,$12.99,South Africa,,Red Wine,Cabernet Sauvignon,South Africa - Beyond Ordinary is a step away from the norm and allows for discovery and exploration. The palate is fresh and fruity with black berry and spice flavors with soft tannins that lead to an enjoyable long finish. This is a limited release item get a bottle while you can! (Elegant Red Fruit Chocolate Pepper  Medium-bodied )
Josh Cellars Cabernet Sauvignon Family Reserve North Coast,$16.99,California,North Coast,Red Wine,Cabernet Sauvignon,North Coast CA- A Reserve offering from the popular Josh Cellars! The bouquet of this North Coast Cabernet Sauvignon is bursting with dark fruits and roasted nuts. The wine is full-bodied and plush showcasing rich flavors of black cherries and blackberries with subtle oak and vanilla. (Concentrated Cherry Plum  Medium-bodied )
Leone DOro Chianti Classico Rsv 2011,$19.99,Italy,Tuscany,Red Wine,Sangiovese,Wine Spectator-Tuscany Italy - Blackberry black cherry spice leather and tar flavors are the hallmarks of this dense red. Fruity yet structured vibrant and long. The tannins are refined meshing well with the overall balance... (Elegant Vanilla Red Fruit Black Fruit  Medium-bodied )
Prototype Cabernet Sauvignon,$7.99,California,,Red Wine,Cabernet Sauvignon,California - Fragrant aromas of black cherries and anise envelop you while flavors of black cherry anise blackberries and baking spices come through on the palate. The perfect companion to a steak dinner or hearty pasta dishes. (Concentrated Black Cherry Blackberry  Medium-bodied )
Antinori Tignanello 2014,$119.97,Italy,Tuscany,Red Wine,Sangiovese,Wine Spectator-Tuscany Italy- The black currant thread winds through this dense muscular red with cherry leather earth iron and mineral flavors. Firm and fleshy with fine balance and a long  expesive finish. Sangiovese Cabernet Franc and Cabernet Sauvignon. (Elegant Plum Cassis Cedar  Full-bodied )
Marchesini Montepulciano,$8.49,Italy,Abruzzo,Red Wine,Montepulciano,Montepulciano d Abruzzo Abruzzi Italy- A great value in an everyday red from Southern Italy. Featuring bright cherry fruit flavors with a touch of leather on the supple finish. Enjoy with your favorite pizza pasta dish or with hamburgers. (Fresh Cherry Leather  Medium-bodied )
Bulgariana Cabernet Sauvignon,$11.99,Bulgaria,,Red Wine,Cabernet Sauvignon,Thracian Valley Bulgaria- Features an elegant and fruity nose with hints of black cherry blackberry and a spicy earthy character. The palate is well-balanced with a smooth finish accents of cherry nuts and pepper and traces of fine tannins. (Elegant Cherry Blackberry  Medium-bodied )
Campo Viejo Rioja Reserva,$11.97,Spain,Rioja,Red Wine,Tempranillo,A smooth balanced attack elegant and full-bodied with a long lingering finish in which cocoa and coffee come through. (Elegant Black Cherry Vanilla  Medium-bodied )
Castillo De Clavijo Rioja Tempranillo,$9.99,Spain,Rioja,Red Wine,Tempranillo,Rioja Spain- This is a generous wine for an affordable price. The strawberry ripe cherry and vanilla varietal flavors of Tempranillo shine through in a soft easy drinking style. This unoaked style results in a red wine that is easily matched with lighter fare and even seafood. (Fresh Strawberry Berry Vanilla  Medium-bodied )
Pacific Peak Cabernet Sauvignon,$9.99,California,,Red Wine,Cabernet Sauvignon,California- Deeply colored and full flavored with essence of dark cherries cassis and blackberry this wine eliminates thoughts that quality must be sacrificed for value. Strong firm tannins and explosive fruit flavors make this wine a natural friend of food. (Intense Black Cherry Cassis  Full-bodied )
Crossfork Creek Cabernet Sauvignon Yakima Valley,$21.99,Washington,Yakima Valley,Red Wine,Cabernet Sauvignon,Yakima Columbia Valley WA- An exceptional value the Crossfork Creek Cabernet has nuanced flavors of cassis plum and spice. The suave interplay between the wines upfront fruit and the radiant powerful finish makes this a distinctively complex Cabernet. (Elegant Cassis Plum  Medium-bodied )
Daou Cabernet Paso Robles 2016,$20.99,California,Central Coast,Red Wine,Cabernet Sauvignon,Antonio Galloni-Paso Robles CA - Bright violet color. Ripe dark berry and floral aromas pick up subtle tobacco and pungent floral and herb nuances as the wine stretches out. Juicy and focused on the palate offering appealingly sweet blackberry and bitter cherry flavors... ()
Oak Ridge Petite Sirah,$14.49,California,,Red Wine,Petite Sirah,California- Aromas of fig lead to powerful flavors of berry cocoa and licorice notes typical of this varietal. The interesting combination of flavors makes this wine a perfect match with grilled meats and strong cheeses. (Intense Fig Cocoa  Full-bodied )
We Are Sonoma Red Blend,$9.99,California,Sonoma County,Red Wine,Red Blend,Sonoma CA- Light-bodied approachable everyday red wine with beautiful dark berry fruit flavors and aromas of cherry plum and baking spices. Pairs with light cheeses duck and game hens. A portion of each bottle sold supports the nonprofit Solar Sonoma County. (Semi-sweet Black Cherry Vanilla  Light-bodied )
Federalist Cabernet Sauvignon Lodi,$12.99,California,Lodi,Red Wine,Cabernet Sauvignon,California - The Lodi Cabernet has aromas of blue/black fruits (blackberries blueberries) and cinnamon spice a good density firm tannin structure and a long smooth finish. ()
Firebrand Cabernet,$9.99,California,,Red Wine,Cabernet Sauvignon,California- A concentrated Cabernet Sauvignon with a ruby red color delicious peppery aromas and juicy flavors of cherry blackcurrant and raspberry. The smooth and easy drinking finish pairs perfectly with grilled or roasted red meats as well as poultry pork and lamb dishes. (Concentrated Cherry Black Currant  Medium-bodied )
A3 Cabernet Sauvignon,$8.49,California,,Red Wine,Cabernet Sauvignon,California- Perfect anytime anyplace with anyone. This elegant medium-bodied Cabernet Sauvignon is filled with rich cherry flavors and toasty vanilla touches of goodness. Pairs perfectly with chicken dishes red meats and mildly seasoned pastas. (Elegant Cherry Vanilla  Medium-bodied )
Mascota Vineyards La Mascota Cabernet Sauvignon 2016,$15.99,Argentina,Mendoza,Red Wine,Cabernet Sauvignon,James Suckling-Mendoza Argentina - An attractive and fruity wine with hints of stone cedar and berry. Medium body fine tannins and a juicy finish. Pair this bright flavorful Cabernet with a braised lamb dish! (Elegant Raspberry Chocolate  Full-bodied )
Jordan Cabernet,$49.99,California,Sonoma County,Red Wine,Cabernet Sauvignon,Alexander Valley Sonoma CA- Combining the artistry of the old world with the technology of the new Jordan produces Cabernet Sauvignon blended in the tradition of Bordeaux. Rich in texture with opulent flavors a restrained use of oak and a lingering finish of subtle earth and smoke. (Elegant Berry Tobacco  Medium-bodied )
Michael David Petite Petit 2015,$15.99,California,,Red Wine,Petite Sirah,Wine Enthusiast -Lodi CA- This wine is not at all petite with its richly layered and concentrated palate. It has an abundance of fine grained tannins to support its opulent flavors of dark fruits and oaky spices. Full bodied but plush and soothing in texture it blens in 15% Pertit verdot. ()
Sequoia Grove Cabernet,$36.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Napa CA- Dark red/black in color the nose gives an immediate aroma of raspberries and warm baking spices leading into cassis and clove. The palate has elements of blackberries and spicy oak with smooth silky tannins and well balanced acidity. ()
Uro Toro Finca La Rana 2012,$17.99,Spain,Toro,Red Wine,Tempranillo,Wine Advocate-Spain - The wine matures in used French oak barrels for some ten months yet the nose does not show any oak-related aromas; its more about soil and fruit with some aromas of peat earth wet slate ripe blackberries and also Mediterranean herbs and licorice. (Fresh Black Fruit Herb  Medium-bodied )
Yellow Tail Merlot,$8.77,Australia,,Red Wine,Merlot,Australia- Ripe and appealing with red berry and cherry fruit flavors along with a hint of mint. Picks up a touch of vanilla on the soft velvety finish. Perfect for any meal or to serve at your next party. (Fresh Cherry Mint Vanilla  Medium-bodied )
Yellow Tail Shiraz,$8.97,Australia,,Red Wine,Syrah/Shiraz,Wine Spectator-South Eastern Australia- This vibrant red shows juicy blackberry flavors and hints of spice finishing with an open texture. The palate is perfectly balanced with soft tannins and fine French oak complemented by ripe fruit flavors. (Fresh Spice Licorice Currant  Medium-bodied )
Line Shack Cabernet San Antonio Valley,$17.99,California,Monterey,Red Wine,Cabernet Sauvignon,San Antonio Valley Monterey CA- This wine is rich yet elegant with a full balanced body showing flavors of blackberries currants plums and mocha accented by medium tannins and a long finish. Hillside grown at an elevation of 1000 ft on clay top soil with a chalky limestone base. (Elegant Blackberry Currant  Full-bodied )
Teeter-Totter Cabernet Sauvignon 2014,$69.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Advocate-Napa CA- The 2014 Cabernet Sauvignon has a dense ruby/ purple color loads of blackcurrant fruit licorice incense and subtle earth and oak. It is juicy heady round hedonistic and satisfying. (Concentrated Black Currant Licorice Floral  Full-bodied )
Shotfire Ridge Shiraz,$18.99,Australia,Barossa,Red Wine,Syrah/Shiraz,Barossa Valley Australia- Brimming with ripe plum blackberry and date flavors intermingled with hints of vanilla chocolate and spice. Rich and intense with sweet ripe tannins leading to a lush and lovely finish. Great with Rich Succulent Lamb Shank. (Intense Berry Cedar  Full-bodied )
St Francis Cabernet,$15.97,California,Sonoma County,Red Wine,Cabernet Sauvignon,Sonoma CA- Ripe rich chewy blackberry and black currant flavors lead onto this wines lush velvety palate followed by impressions of cedar tobacco spice and vanilla with supple round tannins on the finish. ()
Orin Swift Cabernet Papillon,$64.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Napa Valley CA- A tradtional Bordeaux blend of Cabernet Sauvignon Merlot Cabernet Franc Petit Verdot and Malbec. Well-structured and elegant with spicy cedary currant and black cherry fruit that has a dusty edge with a touch of mineral. Ends with gentle fine-grained tannins. ()
Chappellet Cabernet Sauvignon Pritchard Hill Napa 2014,$239.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Advocate-Napa CA- ...a stunner and one of the great great 2014s. Inky purple with blueberry and blackberry fruit cassis licorice graphite and white flowers the wine is stunningly concentrated full-bodied and seemingly one of the greatest of the 2014s. (Intense Raspberry Dark Berry  Full-bodied )
Muirwood Pinot Noir,$17.99,California,Monterey,Red Wine,Pinot Noir,Arroyo Seco Central Coast CA- Attractive smoky cherry and plum flavors pack this silky wine. New French and seasoned oak barrels add a velvety texture to the elegant refinement of this smooth Pinot Noir. Wonderful match with pork tenderloin. (Elegant Cherry Plum  Medium-bodied )
Tenuta di Renieri Chianti Classico Riserva 2012,$24.99,Italy,Tuscany,Red Wine,Sangiovese,James Suckling-Tuscany Italy - Fascinating red with mushroom tea dried cherry and plum aromas and flavors. Medium to full body fine tannins and a savory finish... Pairs beautifully with a flavorful roast. (Elegant Anise Cherry  Full-bodied )
Cooper &amp; Thief Red Blend,$21.99,California,,Red Wine,Red Blend,California- A daring red blend aged for 3 months in bourbon barrels which produces a complex and smooth well-rounded wine. Dark and jammy with bourbon-inspired flavors that give way to soft tannins and a long lingering finish. (Concentrated Dark Fruit Red Fruit  Full-bodied )
Villa Antinori Toscana Red,$12.97,Italy,Tuscany,Red Wine,Sangiovese,Tuscany Italy - Intense ruby red color. Fruity hints on the nose blend well with the toasty chocolate and vanilla notes from ageing in wood. A complex harmonious and well-structured wine with smooth tannins and persistent fruity hints. (Intense Fruity Chocolate  Medium-bodied )
